"nodes__name","nodes__value","nodes__colour","links__source","links__target","links__value"
"DARTH VADER","190","#000000","0","1","32"
"R2-D2","171","#bde0f6","2","0","2"
"CHEWBACCA","145","#A0522D","0","20","5"
"BB-8","40","#eb5d00","0","4","22"
"QUI-GON","62","#4f4fb1","0","18","41"
"NUTE GUNRAY","25","#808080","0","21","2"
"PK-4","4","#808080","0","15","12"
"TC-14","5","#808080","0","22","2"
"OBI-WAN","148","#48D1CC","0","23","8"
"DOFINE","4","#808080","24","0","11"
"RUNE","11","#808080","0","26","3"
"TEY HOW","5","#808080","0","27","2"
"EMPEROR","52","#191970","0","8","47"
"CAPTAIN PANAKA","20","#808080","0","29","1"
"SIO BIBBLE","9","#808080","0","30","1"
"JAR JAR","42","#9a9a00","13","0","2"
"TARPALS","4","#808080","0","19","4"
"BOSS NASS","5","#808080","0","32","9"
"PADME","75","#DDA0DD","0","33","2"
"RIC OLIE","12","#808080","0","34","9"
"WATTO","9","#808080","0","35","1"
"SEBULBA","4","#808080","17","0","1"
"JIRA","4","#808080","38","0","2"
"SHMI","12","#808080","39","0","1"
"C-3PO","151","#FFD700","40","0","3"
"DARTH MAUL","6","#808080","0","14","1"
"KITSTER","5","#808080","0","43","1"
"WALD","4","#808080","0","44","1"
"FODE/BEED","12","#808080","0","45","3"
"JABBA","8","#808080","0","50","3"
"GREEDO","4","#808080","51","0","1"
"VALORUM","4","#808080","52","0","2"
"MACE WINDU","23","#808080","0","54","1"
"KI-ADI-MUNDI","7","#808080","0","55","1"
"YODA","46","#9ACD32","0","5","1"
"RABE","3","#808080","53","0","3"
"BAIL ORGANA","24","#808080","0","57","2"
"GENERAL CEEL","5","#808080","0","12","21"
"BRAVO TWO","6","#808080","0","58","1"
"BRAVO THREE","4","#808080","36","0","2"
"CAPTAIN TYPHO","7","#808080","63","0","1"
"SENATOR ASK AAK","4","#808080","0","69","2"
"ORN FREE TAA","4","#808080","0","70","1"
"SOLA","4","#808080","0","71","7"
"JOBAL","4","#808080","0","82","8"
"RUWEE","5","#808080","0","83","2"
"TAUN WE","8","#808080","0","86","1"
"LAMA SU","9","#808080","48","0","3"
"BOBA FETT","11","#808080","0","87","4"
"JANGO FETT","6","#808080","0","72","2"
"OWEN","11","#808080","0","66","8"
"BERU","7","#808080","0","88","1"
"CLIEGG","4","#808080","2","1","17"
"COUNT DOOKU","10","#808080","3","1","2"
"SUN RIT","4","#808080","3","2","8"
"POGGLE","4","#808080","8","1","28"
"PLO KOON","4","#808080","18","1","24"
"ODD BALL","5","#808080","4","1","13"
"GENERAL GRIEVOUS","13","#808080","1","20","3"
"FANG ZAR","4","#808080","24","1","55"
"MON MOTHMA","5","#808080","26","1","2"
"GIDDEAN DANU","3","#808080","29","1","4"
"CLONE COMMANDER GREE","5","#808080","12","1","5"
"CLONE COMMANDER CODY","5","#808080","40","1","1"
"TION MEDON","4","#808080","51","1","1"
"CAPTAIN ANTILLES","4","#808080","50","1","2"
"LUKE","161","#3881e5","36","1","3"
"CAMIE","4","#808080","1","34","5"
"BIGGS","19","#808080","66","1","34"
"LEIA","99","#DCDCDC","69","1","23"
"MOTTI","4","#808080","65","1","1"
"TARKIN","13","#808080","68","1","1"
"HAN","170","#ff9400","72","1","18"
"DODONNA","4","#808080","87","1","5"
"GOLD LEADER","15","#808080","2","8","6"
"WEDGE","29","#808080","24","2","39"
"RED LEADER","34","#808080","2","66","32"
"RED TEN","9","#808080","2","72","77"
"GOLD FIVE","9","#808080","2","29","3"
"RIEEKAN","8","#808080","2","69","48"
"DERLIN","4","#808080","2","79","1"
"ZEV","7","#808080","2","87","20"
"PIETT","13","#808080","48","2","2"
"OZZEL","4","#808080","2","96","20"
"DACK","5","#808080","2","98","13"
"JANSON","5","#808080","101","2","1"
"NEEDA","4","#808080","2","103","2"
"LANDO","42","#808080","2","93","2"
"JERJERROD","4","#808080","2","94","3"
"BIB FORTUNA","4","#808080","95","2","1"
"BOUSHH","4","#808080","3","93","8"
"ADMIRAL ACKBAR","13","#808080","3","92","2"
"LOR SAN TEKKA","5","#808080","3","98","17"
"POE","31","#a15bea","3","97","1"
"KYLO REN","23","#000000","3","96","15"
"CAPTAIN PHASMA","7","#808080","3","72","9"
"FINN","64","#07b19f","101","3","1"
"UNKAR PLUTT","6","#808080","3","103","3"
"REY","57","#ffe0af","3","69","3"
"GENERAL HUX","15","#808080","3","24","3"
"LIEUTENANT MITAKA","4","#808080","5","4","1"
"BALA-TIK","5","#808080","6","7","1"
"SNOKE","5","#191970","8","7","1"
"MAZ","7","#808080","4","7","1"
"SNAP","6","#808080","8","4","26"
"ADMIRAL STATURA","4","#808080","5","7","1"
"YOLO ZIFF","4","#808080","9","5","1"
"COLONEL DATOO","4","#808080","9","7","1"
"ELLO ASTY","5","#808080","5","10","8"
"JESS","5","#808080","10","11","2"
"NIV LEK","4","#808080","5","11","1"
"","","","13","12","3"
"","","","12","14","1"
"","","","13","14","3"
"","","","15","4","22"
"","","","15","8","15"
"","","","15","16","2"
"","","","17","4","2"
"","","","17","8","2"
"","","","17","15","2"
"","","","12","5","6"
"","","","12","10","3"
"","","","5","14","2"
"","","","15","14","1"
"","","","13","15","7"
"","","","4","14","2"
"","","","13","4","9"
"","","","13","18","7"
"","","","18","4","16"
"","","","18","14","1"
"","","","13","8","7"
"","","","8","19","3"
"","","","15","19","1"
"","","","4","19","2"
"","","","13","19","2"
"","","","15","18","10"
"","","","4","20","6"
"","","","18","20","3"
"","","","15","21","2"
"","","","4","21","2"
"","","","18","21","2"
"","","","22","4","2"
"","","","22","18","1"
"","","","15","23","3"
"","","","4","23","8"
"","","","18","23","5"
"","","","24","18","12"
"","","","8","14","1"
"","","","25","12","3"
"","","","26","27","1"
"","","","15","26","1"
"","","","26","4","2"
"","","","15","27","1"
"","","","4","27","2"
"","","","8","23","1"
"","","","24","20","1"
"","","","26","20","1"
"","","","24","4","1"
"","","","24","26","1"
"","","","26","18","1"
"","","","28","29","1"
"","","","29","23","1"
"","","","21","23","1"
"","","","29","15","1"
"","","","29","18","1"
"","","","29","21","1"
"","","","29","4","1"
"","","","28","15","2"
"","","","28","18","1"
"","","","30","4","1"
"","","","30","27","1"
"","","","26","23","1"
"","","","12","31","2"
"","","","12","15","5"
"","","","12","4","1"
"","","","15","31","1"
"","","","4","31","1"
"","","","32","4","2"
"","","","33","4","2"
"","","","4","34","3"
"","","","4","35","1"
"","","","33","32","4"
"","","","32","34","16"
"","","","32","35","1"
"","","","33","34","4"
"","","","33","35","1"
"","","","35","34","1"
"","","","36","12","6"
"","","","36","31","1"
"","","","8","34","20"
"","","","32","8","9"
"","","","33","8","1"
"","","","17","18","2"
"","","","25","5","3"
"","","","17","13","1"
"","","","8","18","9"
"","","","12","37","1"
"","","","37","5","1"
"","","","25","37","1"
"","","","25","10","1"
"","","","38","19","4"
"","","","37","15","1"
"","","","5","18","2"
"","","","9","11","1"
"","","","39","38","2"
"","","","39","19","2"
"","","","12","18","5"
"","","","12","41","2"
"","","","12","42","2"
"","","","42","41","1"
"","","","12","32","3"
"","","","12","34","2"
"","","","12","33","1"
"","","","36","32","2"
"","","","36","34","8"
"","","","36","33","1"
"","","","40","15","1"
"","","","40","8","2"
"","","","8","6","1"
"","","","18","43","1"
"","","","44","43","2"
"","","","45","43","1"
"","","","44","18","1"
"","","","18","45","1"
"","","","44","45","1"
"","","","8","46","5"
"","","","47","46","2"
"","","","47","8","6"
"","","","48","46","2"
"","","","48","49","3"
"","","","48","8","1"
"","","","49","46","1"
"","","","49","8","1"
"","","","24","50","4"
"","","","51","24","3"
"","","","24","52","1"
"","","","51","50","4"
"","","","50","18","4"
"","","","52","50","2"
"","","","51","18","1"
"","","","51","52","1"
"","","","52","18","2"
"","","","36","8","8"
"","","","12","8","5"
"","","","8","41","1"
"","","","36","41","1"
"","","","36","15","1"
"","","","41","34","1"
"","","","15","34","1"
"","","","32","41","1"
"","","","15","32","1"
"","","","15","41","1"
"","","","32","18","2"
"","","","15","42","1"
"","","","53","18","3"
"","","","53","49","1"
"","","","55","54","2"
"","","","5","54","2"
"","","","5","55","2"
"","","","8","54","1"
"","","","8","55","1"
"","","","5","8","1"
"","","","53","8","3"
"","","","18","54","1"
"","","","53","54","1"
"","","","18","55","1"
"","","","53","55","1"
"","","","53","5","1"
"","","","53","32","2"
"","","","33","56","1"
"","","","53","34","2"
"","","","18","34","1"
"","","","53","12","2"
"","","","8","57","2"
"","","","58","8","2"
"","","","24","8","9"
"","","","24","12","2"
"","","","36","24","3"
"","","","36","18","5"
"","","","36","59","2"
"","","","36","60","2"
"","","","36","61","1"
"","","","59","18","2"
"","","","59","60","2"
"","","","59","61","1"
"","","","60","18","2"
"","","","61","18","1"
"","","","61","60","1"
"","","","40","18","2"
"","","","24","40","2"
"","","","62","34","1"
"","","","63","8","2"
"","","","8","64","1"
"","","","58","5","1"
"","","","63","32","1"
"","","","63","34","1"
"","","","36","65","2"
"","","","36","4","1"
"","","","24","34","1"
"","","","24","65","1"
"","","","67","66","2"
"","","","68","67","2"
"","","","68","66","4"
"","","","51","66","3"
"","","","66","50","3"
"","","","24","66","29"
"","","","24","69","49"
"","","","69","66","26"
"","","","51","69","1"
"","","","66","8","22"
"","","","69","8","1"
"","","","70","71","2"
"","","","72","8","10"
"","","","72","66","43"
"","","","30","72","1"
"","","","72","29","1"
"","","","24","72","54"
"","","","69","70","1"
"","","","69","71","1"
"","","","72","69","69"
"","","","73","74","1"
"","","","73","75","1"
"","","","73","66","1"
"","","","74","75","1"
"","","","74","66","1"
"","","","66","75","4"
"","","","68","69","1"
"","","","69","76","1"
"","","","66","76","3"
"","","","68","76","3"
"","","","68","24","1"
"","","","24","76","1"
"","","","76","75","3"
"","","","74","76","1"
"","","","68","75","2"
"","","","76","77","1"
"","","","68","74","1"
"","","","66","77","1"
"","","","72","79","3"
"","","","69","79","4"
"","","","24","80","1"
"","","","72","81","1"
"","","","24","79","1"
"","","","83","82","2"
"","","","80","69","1"
"","","","84","66","3"
"","","","85","75","2"
"","","","66","81","1"
"","","","86","82","1"
"","","","66","34","6"
"","","","48","82","1"
"","","","72","87","12"
"","","","87","69","12"
"","","","24","87","8"
"","","","48","87","2"
"","","","48","24","1"
"","","","48","72","1"
"","","","48","69","1"
"","","","87","66","6"
"","","","89","24","2"
"","","","24","29","3"
"","","","29","66","2"
"","","","90","29","1"
"","","","90","24","2"
"","","","90","72","1"
"","","","90","69","1"
"","","","89","66","1"
"","","","89","29","1"
"","","","72","60","1"
"","","","91","72","2"
"","","","87","60","1"
"","","","91","87","5"
"","","","91","60","1"
"","","","24","60","1"
"","","","69","60","1"
"","","","66","60","1"
"","","","91","24","2"
"","","","91","69","2"
"","","","91","66","1"
"","","","12","66","3"
"","","","87","75","6"
"","","","91","75","1"
"","","","92","93","3"
"","","","94","92","1"
"","","","94","93","2"
"","","","95","94","1"
"","","","95","92","1"
"","","","95","93","1"
"","","","95","96","3"
"","","","99","94","5"
"","","","98","97","2"
"","","","96","93","11"
"","","","99","100","1"
"","","","94","100","2"
"","","","95","99","1"
"","","","96","98","29"
"","","","72","98","17"
"","","","96","72","23"
"","","","101","72","2"
"","","","101","98","1"
"","","","101","96","1"
"","","","99","102","3"
"","","","94","102","2"
"","","","72","103","4"
"","","","96","103","2"
"","","","103","98","2"
"","","","72","93","2"
"","","","69","93","3"
"","","","96","69","3"
"","","","94","98","4"
"","","","93","104","2"
"","","","91","93","1"
"","","","24","93","2"
"","","","105","93","1"
"","","","72","104","1"
"","","","91","104","1"
"","","","96","104","1"
"","","","69","104","1"
"","","","24","104","1"
"","","","105","104","1"
"","","","105","72","1"
"","","","91","96","1"
"","","","91","105","1"
"","","","24","96","1"
"","","","105","96","1"
"","","","105","69","2"
"","","","105","24","2"
"","","","95","72","2"
"","","","107","99","1"
"","","","108","93","3"
"","","","109","104","1"
"","","","72","94","3"
"","","","96","94","2"
"","","","109","110","2"
"","","","110","106","1"
"","","","110","93","2"
"","","","108","110","2"
"","","","109","106","1"
"","","","109","93","2"
"","","","108","109","2"
"","","","93","106","1"
"","","","108","106","1"
"","","","69","98","1"
"","","","66","98","1"
